vendor,ambassadorEmail,ambassadorName,following
Bonzo,Michael_Phelps@uss.net,MichaelPhelps,4
Absoo,Serena_Williams@usta.net,SerenaWilliams,4
Zico,David_Beckham@uks.net,DavidBeckham,4
Zuke,Sandra_Bullock@blk.com,SandraBullock,3
Nano,Roger_Federer@swta.net,RogerFederer,3
BonBon,Nicholas_Cage@ncg.com,NicholasCage,2
Troy,Tom_Hanks@thk.com,TomHanks,2
Greeno,Venus_Williams@usta.net,VenusWilliams,2
Metsu,Justin_Timberlake@tlk.com,JustinTimberlake,2
Crombie,John_Travolta@jtv.com,JohnTravolta,1
Dennys,Julia_Roberts_@rbt.com,JuliaRoberts,1
Radix,Bruce_Willis@bws.com,BruceWillis,1
